ticker;nome;gruppo_attuale;settore_proposto
CITY.MI;Amundi Smart City ETF;infrastrutture;INFRASTRUTTURE
CIT.MI;Global X Smart City ETF;infrastrutture;INFRASTRUTTURE
CITE.MI;iShares Digitalisation ETF;infrastrutture;INFRASTRUTTURE
XLPE.MI;SPDR S&P US Consumer Discretionary;infrastrutture;SETTORE_AMPIO_VALUTARE
XRES.MI;Xtrackers MSCI World Real Estate;infrastrutture;INFRASTRUTTURE
COPM.MI;iShares Copper Producers ETF;risorse;MATERIE_PRIME
COPR.MI;Global X Copper Miners ETF;risorse;MATERIE_PRIME
COPX.MI;Global X Copper ETF;risorse;MATERIE_PRIME
CROP.MI;iShares Agribusiness ETF;risorse;MATERIE_PRIME
GDX.MI;VanEck Gold Miners ETF;risorse;MATERIE_PRIME
GDXJ.MI;VanEck Junior Gold Miners ETF;risorse;MATERIE_PRIME
REMX.MI;VanEck Rare Earth & Strategic Metals;risorse;MATERIE_PRIME
RARE.MI;VanEck Rare Earth ETF;risorse;MATERIE_PRIME
METL.MI;WisdomTree Industrial Metals ETF;risorse;MATERIE_PRIME
METAA.MI;Amundi MSCI Metals & Mining;risorse;MATERIE_PRIME
METAJ.MI;Amundi MSCI Metals & Mining JPY;risorse;MATERIE_PRIME
METE.MI;iShares MSCI Global Metals;risorse;MATERIE_PRIME
SILV.MI;iShares Silver ETF;risorse;MATERIE_PRIME
WSLV.MI;WisdomTree Physical Silver ETF;risorse;MATERIE_PRIME
VEGI.MI;iShares Agribusiness ETF EUR;risorse;MATERIE_PRIME
FOFD.MI;Rize Food Revolution ETF;risorse;AGRIFOOD
GSM.MI;Global X Silver Miners ETF;risorse;MATERIE_PRIME
FAMAMW.MI;Fineco AM MSCI World Metals & Mining UCITS ETF;risorse;MATERIE_PRIME
EBIZ.MI;Global X E-commerce ETF;digitale;DIGITALE_ECOMMERCE_FINTECH
EBUY.MI;Amundi MSCI E-commerce ETF;digitale;DIGITALE_ECOMMERCE_FINTECH
ECOM.MI;L&G Ecommerce Logistics UCITS ETF;digitale;DIGITALE_ECOMMERCE_FINTECH
DPAY.MI;Amundi Digital Economy ETF;digitale;DIGITALE_ECOMMERCE_FINTECH
FINX.MI;Global X FinTech ETF;digitale;DIGITALE_ECOMMERCE_FINTECH
INQQ.MI;iShares EM Digital Economy ETF;digitale;DIGITALE_ECOMMERCE_FINTECH
SNSR.MI;Global X Internet of Things ETF;digitale;DIGITALE_ECOMMERCE_FINTECH
XFNT.MI;Xtrackers FinTech Innovation;digitale;DIGITALE_ECOMMERCE_FINTECH
XMOV.MI;Xtrackers Future Mobility ETF;digitale;MOBILITA_EV
XDG3.MI;Xtrackers Digital Disruption;digitale;DIGITALE_ECOMMERCE_FINTECH
XDG6.MI;Xtrackers Digital Infrastructure;digitale;INFRASTRUTTURE
XDG7.MI;Xtrackers Digital Payments;digitale;DIGITALE_ECOMMERCE_FINTECH
XDGI.MI;Xtrackers Digital Globalisation;digitale;DIGITALE_ECOMMERCE_FINTECH
FAMMWF.MI;Fineco AM MSCI World Financials UCITS ETF;digitale;DROP_FUORI_TEMA
ESPO.MI;VanEck Video Gaming & Esports ETF;media;MEDIA_GAMING
ESPY.MI;L&G Cyber Security Innovation UCITS ETF;media;CYBERSECURITY
ESGO.MI;Global X Video Games & Esports ETF;media;MEDIA_GAMING
MCHT.MI;Invesco MSCI China Technology UCITS ETF;media;SETTORE_AMPIO_VALUTARE
MTVS.MI;WisdomTree Metaverse ETF;media;MEDIA_GAMING
MTAV.MI;iShares Metaverse UCITS ETF;media;MEDIA_GAMING
GLUX.MI;Amundi S&P Global Luxury ETF;media;MEDIA_GAMING
BRIJ.MI;Global X European Infrastructure Dev UCITS ETF;media;INFRASTRUTTURE
HNSC.MI;iShares Hang Seng Tech ETF;media;SETTORE_AMPIO_VALUTARE
XS8R.MI;Xtrackers S&P 500 Info Tech;media;SETTORE_AMPIO_VALUTARE
XG11.MI;Xtrackers MSCI World Growth ETF;media;DROP_FATTORIALE
XG12.MI;Xtrackers MSCI World Value ETF;media;DROP_FATTORIALE
AQWA.MI;iShares Global Water ETF;acqua;ACQUA_AMBIENTE
WATC.MI;Amundi MSCI Water UCITS ETF;acqua;ACQUA_AMBIENTE
WTRE.MI;WisdomTree Water ETF;acqua;ACQUA_AMBIENTE
GLUG.MI;iShares Global Water UCITS ETF;acqua;ACQUA_AMBIENTE
HYDE.MI;VanEck Circular Economy ETF;acqua;ACQUA_AMBIENTE
SDG9.MI;iShares MSCI Global Sustainable;acqua;DROP_FATTORIALE
WGRO.MI;WisdomTree Global Growth ETF;acqua;DROP_FATTORIALE
ROBO.MI;Robo Global Robotics ETF;acqua;ROBOTICA
BOTZ.MI;Global X Robotics & AI ETF;acqua;AI_TECH
SMH.MI;VanEck Semiconductor ETF;semiconduttori;SEMICONDUTTORI
SEME.MI;iShares MSCI Global Semiconductors;semiconduttori;SEMICONDUTTORI
CHIP.MI;Amundi PHLX Semiconductor ETF;semiconduttori;SEMICONDUTTORI
FCHP.DE;Franklin FTSE Semiconductor ETF;semiconduttori;SEMICONDUTTORI
USTEC.MI;iShares NASDAQ 100 UCITS ETF;semiconduttori;SEMICONDUTTORI
FAMMWS.MI;Fineco AM MSCI World Semiconductors UCITS ETF;semiconduttori;SEMICONDUTTORI
HERU.MI;HANetf European Equity ETF;altro;DROP_FATTORIALE
DMAT.MI;iShares Diversified Materials ETF;altro;MATERIE_PRIME
ROE.MI;iShares Return on Equity ETF;altro;DROP_FATTORIALE
QNTM.MI;VanEck Quantum Computing UCITS ETF;altro;AI_TECH
QUAD.MI;Invesco Quantitative ETF;altro;DROP_FATTORIALE
RAYZ.MI;Rize Sustainable Future Food ETF;altro;AGRIFOOD
MILL.MI;Global X Millennials ETF;altro;DROP_FATTORIALE
MLPS.MI;Global X MLP ETF;altro;DROP_FATTORIALE
WMGT.MI;WisdomTree Quality Dividend ETF;altro;DROP_FATTORIALE
WBLK.MI;WisdomTree Blockchain ETF;altro;CRYPTO_BLOCKCHAIN
ISAG.MI;iShares Ageing Population UCITS ETF EUR;altro;SALUTE_BIOTECH
KWBE.MI;L&G ROBO Global Robotics ETF;altro;ROBOTICA
IVAI.MI;Invesco Artificial Intelligence UCITS ETF;altro;AI_TECH
IVDF.DE;Invesco Defence Innovation ETF;altro;DIFESA
CAUT.MI;iShares Automation & Robotics ETF;altro;ROBOTICA
FAMWCS.MI;Fineco AM MSCI World Consumer Staples UCITS ETF;altro;SETTORE_AMPIO_VALUTARE
